location,topic,topic_num,titles,urls,lat,long,category,world_score,canada_score,bc_score,image_urls
Guelph,just people times think things family feel know ,0,"['Before DIY sourdough starters became popular, there was home economics – Abbotsford News', 'Why #visiblemending is trending']","['https://www.abbynews.com/opinion/before-diy-sourdough-starters-became-popular-there-was-home-economics/', 'https://www.thestar.com/life/2020/04/09/why-visiblemending-is-trending.html']",43.5460516,-80.2493276,lifestyle,20.0,14.0,11.0,"['https://www.abbynews.com/opinion/before-diy-sourdough-starters-became-popular-there-was-home-economics/', 'https://www.thestar.com/life/2020/04/09/why-visiblemending-is-trending.html']"
Halifax,just people times think things family feel know ,0,"['Set in Halifax: Exuberant, freewheeling stories about the insanity of being human']",['https://www.thestar.com/entertainment/books/2020/06/19/set-in-halifax-exuberant-freewheeling-stories-about-the-insanity-of-being-human.html'],44.648618,-63.58594870000001,lifestyle,20.0,14.0,11.0,['https://www.thestar.com/entertainment/books/2020/06/19/set-in-halifax-exuberant-freewheeling-stories-about-the-insanity-of-being-human.html']
Halti,just people times think things family feel know ,0,['Dog in a suit: life with a Hearing Dog Guide'],['https://www.bowenislandundercurrent.com/community/dog-in-a-suit-life-with-a-hearing-dog-guide-1.24156639'],69.3080614,21.263320999999998,lifestyle,20.0,14.0,11.0,['https://www.bowenislandundercurrent.com/community/dog-in-a-suit-life-with-a-hearing-dog-guide-1.24156639']
Hamilton,just people times think things family feel know ,0,"[""Community support for family dealing with baby's rare cancer diagnosis""]",['https://kitchener.ctvnews.ca/community-support-for-family-dealing-with-baby-s-rare-cancer-diagnosis-1.5027760'],43.2560802,-79.8728583,lifestyle,20.0,14.0,11.0,['https://kitchener.ctvnews.ca/community-support-for-family-dealing-with-baby-s-rare-cancer-diagnosis-1.5027760']
Hemerocallis,just people times think things family feel know ,0,['These six flowers are blooming right now. And they make a lot of scents'],['https://www.therecord.com/ts/life/homes/2020/07/14/these-six-flowers-are-blooming-right-now-and-they-make-a-lot-of-scents.html'],50.46748985,3.9416713495644986,lifestyle,20.0,14.0,11.0,['https://www.therecord.com/ts/life/homes/2020/07/14/these-six-flowers-are-blooming-right-now-and-they-make-a-lot-of-scents.html']
Holland,just people times think things family feel know ,0,"['LANGLEY’S GREEN THUMB: Tiny hybrids can add stunning colour to the garden – Langley Advance Times', 'Your brain on terror — a writer faces the science behind her fears']","['https://www.langleyadvancetimes.com/community/langleys-green-thumb-tiny-hybrids-can-add-stunning-colour-to-the-garden/', 'https://www.cbc.ca/radio/quirks/your-brain-on-terror-a-writer-faces-the-science-behind-her-fears-1.5569335']",52.5001698,5.7480820999999995,lifestyle,20.0,14.0,11.0,"['https://www.langleyadvancetimes.com/community/langleys-green-thumb-tiny-hybrids-can-add-stunning-colour-to-the-garden/', 'https://www.cbc.ca/radio/quirks/your-brain-on-terror-a-writer-faces-the-science-behind-her-fears-1.5569335']"
Hong Kong,just people times think things family feel know ,0,"['Lindsay Wong: COVID-19 may be my millennial generation’s diaspora, but it’s also my family’s latest, haunting trauma']",['https://www.therecord.com/ts/entertainment/books/2020/07/11/lindsay-wong-covid-19-may-be-my-millennial-generations-diaspora-but-its-also-my-familys-latest-haunting-trauma.html'],22.2793278,114.16281310000001,lifestyle,20.0,14.0,11.0,['https://www.therecord.com/ts/entertainment/books/2020/07/11/lindsay-wong-covid-19-may-be-my-millennial-generations-diaspora-but-its-also-my-familys-latest-haunting-trauma.html']
Idaho,just people times think things family feel know ,0,"['‘Ocean to Idaho’ follows migration of salmon from Pacific to central Idaho through immersive social media campaign', 'Demi Moore explains her carpeted bathroom after it draws ire on social media']","['https://www.thestar.com/life/relationships/2020/07/10/ocean-to-idaho-follows-migration-of-salmon-from-pacific-to-central-idaho-through-immersive-social-media-campaign.html', 'https://www.ctvnews.ca/entertainment/demi-moore-explains-her-carpeted-bathroom-after-it-draws-ire-on-social-media-1.5026328']",43.6447642,-114.0154071,lifestyle,20.0,14.0,11.0,"['https://www.thestar.com/life/relationships/2020/07/10/ocean-to-idaho-follows-migration-of-salmon-from-pacific-to-central-idaho-through-immersive-social-media-campaign.html', 'https://www.ctvnews.ca/entertainment/demi-moore-explains-her-carpeted-bathroom-after-it-draws-ire-on-social-media-1.5026328']"
India,just people times think things family feel know ,0,['Story of ‘A Mother’s Journey to Adoption’ told in book by first-time Surrey author – North Delta Reporter'],['https://www.northdeltareporter.com/community/story-of-a-mothers-journey-to-adoption-told-in-book-by-first-time-surrey-author/'],22.3511148,78.6677428,lifestyle,20.0,14.0,11.0,['https://www.northdeltareporter.com/community/story-of-a-mothers-journey-to-adoption-told-in-book-by-first-time-surrey-author/']
Inked,just people times think things family feel know ,0,['Port Coquitlam tattoo model hopes her next story will be on a magazine cover'],['https://www.tricitynews.com/lifestyles/port-coquitlam-tattoo-model-hopes-her-next-story-will-be-on-a-magazine-cover-1.24099632'],48.210326,16.3730698,lifestyle,20.0,14.0,11.0,['https://www.tricitynews.com/lifestyles/port-coquitlam-tattoo-model-hopes-her-next-story-will-be-on-a-magazine-cover-1.24099632']
Japan,just people times think things family feel know ,0,['David Lee Roth is letting his art (mostly) do the talking'],['https://www.thestar.com/entertainment/music/2020/07/13/david-lee-roth-is-letting-his-art-mostly-do-the-talking.html'],36.5748441,139.2394179,lifestyle,20.0,14.0,11.0,['https://www.thestar.com/entertainment/music/2020/07/13/david-lee-roth-is-letting-his-art-mostly-do-the-talking.html']
Jensplaining,just people times think things family feel know ,0,['Are you choosing TV over sex? This and other culprits that might be killing your libido'],['https://www.cbc.ca/life/wellness/are-you-choosing-tv-over-sex-this-and-other-culprits-that-might-be-killing-your-libido-1.5289045'],0.0,0.0,lifestyle,20.0,14.0,11.0,['https://www.cbc.ca/life/wellness/are-you-choosing-tv-over-sex-this-and-other-culprits-that-might-be-killing-your-libido-1.5289045']
Kelowna,just people times think things family feel know ,0,['Life and Style with Terry Simpson – Maple Ridge News'],['https://www.mapleridgenews.com/life/life-and-style-with-terry-simpson/'],49.889326,-119.498291,lifestyle,20.0,14.0,11.0,['https://www.mapleridgenews.com/life/life-and-style-with-terry-simpson/']
Knoxville,just people times think things family feel know ,0,"['At least it wasn’t boring: Peter Weber gets dumped, engaged and then calls it off on ‘Bachelor’ finale']",['https://www.thestar.com/entertainment/television/review/2020/03/11/at-least-it-wasnt-boring-peter-weber-gets-dumped-engaged-and-then-calls-it-off-on-bachelor-finale.html'],35.9603948,-83.92102609999999,lifestyle,20.0,14.0,11.0,['https://www.thestar.com/entertainment/television/review/2020/03/11/at-least-it-wasnt-boring-peter-weber-gets-dumped-engaged-and-then-calls-it-off-on-bachelor-finale.html']
Landry,just people times think things family feel know ,0,['She lost 100 pounds and became an Instagram sensation. Then she realized how diet culture was affecting her kids'],['https://www.thestar.com/life/health_wellness/2020/01/09/she-lost-100-pounds-and-became-an-instagram-sensation-then-she-realized-how-diet-culture-was-affecting-her-kids.html'],45.57,6.739910000000001,lifestyle,20.0,14.0,11.0,['https://www.thestar.com/life/health_wellness/2020/01/09/she-lost-100-pounds-and-became-an-instagram-sensation-then-she-realized-how-diet-culture-was-affecting-her-kids.html']
Langley City,just people times think things family feel know ,0,['Marie Anna Mow (nee van Spronsen) – Surrey Now-Leader'],['https://www.surreynowleader.com/obituaries/marie-anna-mow-nee-van-spronsen/'],48.3604648,6.3258262,lifestyle,20.0,14.0,11.0,['https://www.surreynowleader.com/obituaries/marie-anna-mow-nee-van-spronsen/']
London,just people times think things family feel know ,0,"['Clearview Station offers unique bed and breakfast', 'Book list: Reading getaways for all ages', 'Michaela Coel survived a drugging and sexual assault, then turned it into a hit TV series', ""'I will make you live forever': Terry Fox publicist recalls first Marathon of Hope, 40 years later""]","['http://barrie.ctvnews.ca/clearview-station-offers-unique-bed-and-breakfast-1.5027619', 'https://www.richmond-news.com/opinion/columnists/book-list-reading-getaways-for-all-ages-1.24165311', 'https://www.cbc.ca/radio/q/michaela-coel-survived-a-drugging-and-sexual-assault-then-turned-it-into-a-hit-tv-series-1.5650640', 'http://london.ctvnews.ca/i-will-make-you-live-forever-terry-fox-publicist-recalls-first-marathon-of-hope-40-years-later-1.5027285']",51.5073219,-0.1276474,lifestyle,20.0,14.0,11.0,"['http://barrie.ctvnews.ca/clearview-station-offers-unique-bed-and-breakfast-1.5027619', 'https://www.richmond-news.com/opinion/columnists/book-list-reading-getaways-for-all-ages-1.24165311', 'https://www.cbc.ca/radio/q/michaela-coel-survived-a-drugging-and-sexual-assault-then-turned-it-into-a-hit-tv-series-1.5650640', 'http://london.ctvnews.ca/i-will-make-you-live-forever-terry-fox-publicist-recalls-first-marathon-of-hope-40-years-later-1.5027285']"
Lone Butte,just people times think things family feel know ,0,"['96-year-old woman scales B.C. butte with help of family, friends – Maple Ridge News']",['https://www.mapleridgenews.com/community/96-year-old-woman-scales-b-c-butte-with-help-of-family-friends/'],47.7327188,-113.22701059999999,lifestyle,20.0,14.0,11.0,['https://www.mapleridgenews.com/community/96-year-old-woman-scales-b-c-butte-with-help-of-family-friends/']
Mexico,just people times think things family feel know ,0,['Suburban Chronicles: Cutting myself some slack as my clothes become tighter'],['https://www.therecord.com/life/opinion/2020/07/10/suburban-chronicles-cutting-myself-some-slack-as-my-clothes-become-tighter.html'],19.4326296,-99.1331785,lifestyle,20.0,14.0,11.0,['https://www.therecord.com/life/opinion/2020/07/10/suburban-chronicles-cutting-myself-some-slack-as-my-clothes-become-tighter.html']
Montauk,just people times think things family feel know ,0,['Colin Jost knows what he has: ‘A Very Punchable Face’'],['https://www.thestar.com/entertainment/2020/07/10/colin-jost-knows-what-he-has-a-very-punchable-face.html'],41.043629800000005,-71.94387532055404,lifestyle,20.0,14.0,11.0,['https://www.thestar.com/entertainment/2020/07/10/colin-jost-knows-what-he-has-a-very-punchable-face.html']
Montreal,just people times think things family feel know ,0,['PARENTING TODAY: Helping kids grow up is a process'],['https://www.nsnews.com/lifestyle/parenting/parenting-today-helping-kids-grow-up-is-a-process-1.23815641'],45.4972159,-73.61036419999999,lifestyle,20.0,14.0,11.0,['https://www.nsnews.com/lifestyle/parenting/parenting-today-helping-kids-grow-up-is-a-process-1.23815641']
Motte,just people times think things family feel know ,0,"[""Tyler Motte's bravery in talking about his anxiety and depression is an inspiration; here's my story""]",['https://www.vancourier.com/pass-it-to-bulis/tyler-motte-s-bravery-in-talking-about-his-anxiety-and-depression-is-an-inspiration-here-s-my-story-1.24054866'],48.2349806,-2.7334080000000003,lifestyle,20.0,14.0,11.0,['https://www.vancourier.com/pass-it-to-bulis/tyler-motte-s-bravery-in-talking-about-his-anxiety-and-depression-is-an-inspiration-here-s-my-story-1.24054866']
Muirfield Village,just people times think things family feel know ,0,['Collin Morikawa builds big lead at Muirfield Village before storms'],['https://www.therecord.com/ts/sports/golf/2020/07/10/collin-morikawa-builds-big-lead-at-muirfield-village-before-storms.html'],33.42514,-86.61934699999999,lifestyle,20.0,14.0,11.0,['https://www.therecord.com/ts/sports/golf/2020/07/10/collin-morikawa-builds-big-lead-at-muirfield-village-before-storms.html']
Naramata,just people times think things family feel know ,0,['Blog: 10 ways to cope with parenting and working through COVID-19'],['http://www.burnabynow.com/opinion/blogs/blog-10-ways-to-cope-with-parenting-and-working-through-covid-19-1.24118027'],49.5981383,-119.59961650000001,lifestyle,20.0,14.0,11.0,['http://www.burnabynow.com/opinion/blogs/blog-10-ways-to-cope-with-parenting-and-working-through-covid-19-1.24118027']
New West,just people times think things family feel know ,0,"['How to help plants recover from snow', 'Connecting New West – piece by piece', 'Profiles of Excellence: 30 Minute Hit', 'The Hub Barbershop’s legacy lives on in New West', 'Opinion: Explicit flyers are blanketing New Westminster homes']","['https://www.newwestrecord.ca/community/gardening/how-to-help-plants-recover-from-snow-1.7714032', 'https://www.newwestrecord.ca/community/connecting-new-west-piece-by-piece-1.24148713', 'https://www.newwestrecord.ca/standout/profiles-of-excellence-30-minute-hit-1.23529494', 'https://www.newwestrecord.ca/business/the-hub-barbershop-s-legacy-lives-on-in-new-west-1.24128255', 'https://www.newwestrecord.ca/opinion/blogs/opinion-explicit-flyers-are-blanketing-new-westminster-homes-1.24166134']",49.2067726,-122.9108818,lifestyle,20.0,14.0,11.0,"['https://www.newwestrecord.ca/community/gardening/how-to-help-plants-recover-from-snow-1.7714032', 'https://www.newwestrecord.ca/community/connecting-new-west-piece-by-piece-1.24148713', 'https://www.newwestrecord.ca/standout/profiles-of-excellence-30-minute-hit-1.23529494', 'https://www.newwestrecord.ca/business/the-hub-barbershop-s-legacy-lives-on-in-new-west-1.24128255', 'https://www.newwestrecord.ca/opinion/blogs/opinion-explicit-flyers-are-blanketing-new-westminster-homes-1.24166134']"
New Westminster,just people times think things family feel know ,0,['5 things you need to know about downsizing'],['https://www.newwestrecord.ca/standout/5-things-you-need-to-know-about-downsizing-1.23154735'],49.2067726,-122.9108818,lifestyle,20.0,14.0,11.0,['https://www.newwestrecord.ca/standout/5-things-you-need-to-know-about-downsizing-1.23154735']
New York,just people times think things family feel know ,0,['8 kids’ books that bring the outdoors in for summer reading'],['https://www.thestar.com/entertainment/books/2020/06/26/8-kids-books-that-bring-the-outdoors-in-for-summer-reading.html'],40.7127281,-74.0060152,lifestyle,20.0,14.0,11.0,['https://www.thestar.com/entertainment/books/2020/06/26/8-kids-books-that-bring-the-outdoors-in-for-summer-reading.html']
New York City,just people times think things family feel know ,0,['Joanna Cole wrote The Magic School Bus for kids — but she also made special books just for her daughter'],['https://www.cbc.ca/radio/asithappens/joanna-cole-wrote-the-magic-school-bus-for-kids-but-she-also-made-special-books-just-for-her-daughter-1.5652085'],40.7127281,-74.0060152,lifestyle,20.0,14.0,11.0,['https://www.cbc.ca/radio/asithappens/joanna-cole-wrote-the-magic-school-bus-for-kids-but-she-also-made-special-books-just-for-her-daughter-1.5652085']
